word,n_char,n_vowels
katechizacyjny,14,6
katechizm,9,3
katechizmowy,12,5
katechizować,12,5
katecholamina,13,6
katecholowy,11,5
katechu,7,3
katechumen,10,4
katechumenalny,14,6
katechumenat,12,5
katechumeniczny,15,6
katechumenka,12,5
katechumenowy,13,6
katedra,7,3
katedralny,10,4
katedrowy,9,4
kategoremat,11,5
kategoria,9,4
kategorialny,12,5
kategoryczniej,14,5
kategoryczność,14,5
kategoryczny,12,5
kategoryzacja,13,6
kategoryzacyjny,15,7
kategoryzować,13,6
kateksja,8,3
katektyczny,11,4
katena,6,3
katenoida,9,5
katenoteizm,11,5
katera,6,3
katergol,8,3
katering,8,3
kateringowy,11,5
kateszowy,9,4
kateter,7,3
kateteryzacja,13,6
katetometr,10,4
katgut,6,2
katgutowy,9,4
kathakali,9,4
katharsis,9,3
kathartyczny,12,4
kathoey,7,4
katinga,7,3
kation,6,2
kationit,8,3
kationitowy,11,5
kationowo,9,4
kationowy,9,4
katiusza,8,3
katjang,7,2
katleja,7,3
katmanduanin,12,5
katmanduanka,12,5
katmanduańczyk,14,5
katmanduański,13,5
katmanduańskość,15,5
katmandzki,10,3
katocelebryta,13,6
katoda,6,3
katodofon,9,4
katodoluminescencja,19,8
katodoluminescencyjny,21,9
katodoluminofor,15,7
katodoluminoforowy,18,9
katodowy,8,4
katol,5,2
katolewica,10,5
katolicki,9,4
katolickość,11,4
katolicyzacja,13,6
katolicyzm,10,4
katolicyzować,13,6
katoliczka,10,4
katolik,7,3
katolik,7,3
katolikos,9,4
katolka,7,3
katon,5,2
katoński,8,3
katońskość,10,3
katoństwo,9,3
katoptromancja,14,5
katoptryczny,12,4
katoptryka,10,4
katorga,7,3
katorżnictwo,12,4
katorżniczy,11,4
katorżnik,9,3
katorżny,8,3
katostwo,8,3
katotermia,10,4
katować,7,3
katowicki,9,4
katowickość,11,4
katowiczanin,12,5
katowiczanka,12,5
katownia,8,3
katowski,8,3
katowskość,10,3
katran,6,2
katta,5,2
katu,4,2
katulać,7,3
katun,5,2
katusza,7,3
katylinarny,11,5
katyński,8,3
katyńskość,10,3
katzenjamer,11,4
katzenjammer,12,4
kaucja,6,3
kaucjonować,11,5
kaucyjny,8,4
kauczuk,7,3
kauczukodajny,13,6
kauczukonośny,13,6
kauczukopodobny,15,7
kauczukowiec,12,5
kauczukowy,10,5
kaudyński,9,4
kaudyńskość,11,4
kaukaski,8,4
kaukaskość,10,4
kaukaz,6,3
kaukazoidalny,13,7
kaulerpa,8,4
kaulifloria,11,5
kaulikarpia,11,5
kaulinia,8,4
kauloid,7,4
kauri,5,3
kaustobiolit,12,5
kaustyczny,10,4
kaustyfikacja,13,6
kaustyfikacyjny,15,7
kaustyk,7,3
kaustyka,8,4
kaustyzacja,11,5
kausza,6,3
kauter,6,3
kauteryzacja,12,6
kauteryzacyjny,14,7
kauteryzować,12,6
kauzalgia,9,4
kauzalista,10,5
kauzalistka,11,5
kauzalistyczny,14,6
kauzalizm,9,4
kauzalność,10,4
kauzalny,8,4
kauzatywny,10,5
kauzyperda,10,5
kawa,4,2
kawacja,7,3
kawai,5,3
kawaii,6,3
kawalarka,9,4
kawalarski,10,4
kawalarstwo,11,4
kawalarz,8,3
kawaląteczek,12,5
kawalątek,9,4
kawalątko,9,4
kawaler,7,3
kawaler,7,3
kawaleria,9,4
kawalerka,9,4
kawalerowiec,12,5
kawalerski,10,4
kawalerskość,12,4
kawalerstwo,11,4
kawaleryjski,12,5
kawaleryjskość,14,5
kawalerzysta,12,5
kawalerzystka,13,5
kawalet,7,3
kawalić,7,3
kawaliera,9,4
kawalkada,9,4
kawalkata,9,4
kawał,5,2
kawał,5,2
kawałeczek,10,4
kawałek,7,3
kawałki,7,3
kawałkować,10,4
kawałkowaty,11,5
kawałkowy,9,4
kawas,5,2
kawasaki,8,4
kawatina,8,4
kawatyna,8,4
kawcia,6,2
kawczy,6,2
kawecan,7,3
kawerna,7,3
kawernowy,9,4
kawęczeć,8,3
kawęczyć,8,3
kawęczyński,11,4
kawęczyńskość,13,4
kawi,4,2
kawia,5,2
kawiara,7,3
kawiarenka,10,4
kawiarka,8,3
kawiarnia,9,4
kawiarniany,11,5
kawiarniowy,11,5
kawiarz,7,2
kawing,6,2
kawior,6,2
kawioreczek,11,4
kawiorek,8,3
kawiorka,8,3
kawiorowy,9,4
kawitacja,9,4
kawitacyjny,11,5
kawitator,9,4
kawka,5,2
kawkować,8,3
kawomat,7,3
kawon,5,2
kawosz,6,2
kawoszka,8,3
kawoszyć,8,3
kawowiec,8,3
kawowo,6,3
kawowy,6,3
kawsko,6,2
kawulec,7,3
kawunia,7,3
kawuńcia,8,3
kawusia,7,3
KaZaA,5,2
kazachski,9,3
kazachskość,11,3
kazachstański,13,4
kazachstańskość,15,4
kazaczok,8,3
kazać,5,2
kazać,5,2
kazakina,8,4
kazalnica,9,4
kazalniczy,10,4
kazamata,8,4
kazamatowy,10,5
kazamaty,8,4
kazanie,7,3
kazaniowy,9,4
kazanka,7,3
kazanko,7,3
kazanłycki,10,4
kazanowski,10,4
kazanowskość,12,4
kazańczyk,9,3
kazański,8,3
kazańskość,10,3
kazarka,7,3
kazarma,7,3
kazaski,7,3
kazaskość,9,3
kazba,5,2
kazeina,7,4
kazeinian,9,4
kazeinowy,9,5
kazemata,8,4
kazetempowiec,13,5
kazetempowski,13,5
kazić,5,2
kazimierski,11,4
kazimierskość,13,4
kazimierzanin,13,5
kazimierzanka,13,5
kazimierzowski,14,5
kazimierzowskość,16,5
kazimierzowy,12,5
kazimira,8,4
kazionny,8,3
kazirodca,9,4
kazirodczy,10,4
kazirodztwo,11,4
kazirodźca,10,4
kaziuki,7,3
kaznodzieja,11,4
kaznodziejka,12,4
kaznodziejski,13,4
kaznodziejskość,15,4
kaznodziejstwo,14,4
kazoo,5,3
kazualistyczny,14,6
kazualizm,9,4
kazualny,8,4
kazuar,6,3
kazuarowy,9,5
kazuary,7,4
kazuaryna,9,5
kazuarynowate,13,7
kazuarynowaty,13,7
kazuista,8,4
kazuistka,9,4
kazuistyczny,12,5
kazuistyka,10,5
kazuizm,7,3
kazus,5,2
kazuśnik,8,3
kaźmierski,10,3
kaźmierskość,12,3
kaźń,4,1
każdochwilowy,13,5
każdoczasowy,12,5
każdoczesny,11,4
każdodniowy,11,4
każdodzienny,12,4
każdomiesięczny,15,6
każdorazowy,11,5
każdoroczny,11,4
każdotygodniowy,15,6
każdy,5,2
każdziuchny,11,3
każdziuśki,10,3
każdziuteńki,12,4
każdziutki,10,3
każolować,9,4
każualowy,9,5
kąciak,6,2
kącianin,8,3
kącianka,8,3
kącicierń,9,3
kącik,5,2
kącina,6,3
kącki,5,2
kądziałka,9,3
kądziel,7,2
kądzielnik,10,3
kądzielny,9,3
kądzielowy,10,4
kądziołek,9,3
kądziołka,9,3
kąkol,5,2
kąkolewicki,11,5
kąkolewnicki,12,5
kąkolowy,8,4
kąpać,5,2
kąpiel,6,2
kąpielisko,10,4
kąpieliskowy,12,5
kąpielowa,9,4
kąpielowicz,11,4
kąpielowiczka,13,5
kąpielowy,9,4
kąpielowy,9,4
kąpielówki,10,4
kąpiołka,8,3
kąsacz,6,2
kąsacze,7,3
kąsaczowate,11,5
kąsaczowaty,11,5
kąsać,5,2
kąsawiec,8,3
kąseczek,8,3
kąsek,5,2
kąśliwiej,9,3
kąśliwość,9,3
kąśliwszy,9,3
kąśliwy,7,3
kąt,3,1
kąteczek,8,3
kątek,5,2
kątnica,7,3
kątnik,6,2
kątnik,6,2
kątomierczy,11,4
kątomierz,9,3
kątomierzowy,12,5
kątowaty,8,4
kątowianin,10,4
kątowianka,10,4
kątownica,9,4
kątownictwo,11,4
kątownik,8,3
kątownikowy,11,5
kątowy,6,3
kątówka,7,3
kb,2,0
kB,2,0
kbar,4,1
kbit,4,1
kbk,3,0
kbks,4,0
kbps,4,0
kc,2,0
kC,2,0
kcal,4,1
KCh,3,0
kciuk,5,1
kciukowy,8,3
kcynianin,9,3
kcynianka,9,3
kcyński,7,2
kcyńskość,9,2
kd,2,0
kdyn,4,1
kea,3,2
kebab,5,2
kebabcze,8,3
kebabiarnia,11,5
kebabownia,10,4
kebabowy,8,4
kebob,5,2
kebraczo,8,3
kebs,4,1
kecal,5,2
kecz,4,1
keczua,6,3
keczuański,10,4
keczup,6,2
keczupowy,9,4
kedgeree,8,4
kedyw,5,2
kedywowy,8,4
kefalina,8,4
kefaliny,8,4
kefalometria,12,5
kefalometryczny,15,6
kefalotrypsja,13,5
keffekilit,10,4
kefia,5,2
kefija,6,3
kefir,5,2
kefirek,7,3
kefirkowy,9,4
kefirowy,8,4
keftedes,8,3
keg,3,1
kega,4,2
kegel,5,2
keiretsu,8,4
keirin,6,3
keja,4,2
kejf,4,1
kejs,4,1
kek,3,1
keks,4,1
keksowy,7,3
keksówka,8,3
kel,3,1
kelastmin,9,3
kelicardina,11,5
kelina,6,3
kellotetryt,11,4
kelner,6,2
kelnerka,8,3
kelnerkowy,10,4
kelnerować,10,4
kelnerowy,9,4
kelnerski,9,3
kelnerskość,11,3
kelnerstwo,10,3
keloid,6,3
keloidowy,9,5
kelowej,7,3
kelp,4,1
kelpie,6,2
kelt,4,1
kelwin,6,2
kelyfit,7,3
kem,3,1
kemalista,9,4
kemalistka,10,4
kemalistyczny,13,5
kemalizm,8,3
kemerowski,10,4
kemowy,6,3
kemping,7,2
kempingować,11,4
kempingowiec,12,4
kempingowy,10,4
kenaf,5,2
kencja,6,2
kendama,7,3
kendo,5,2
kendoczka,9,3
kendoka,7,3
kendyr,6,2
kenel,5,2
kenelski,8,3
kenelskość,10,3
kenesa,6,3
kenijski,8,3
kenijskość,10,3
kenizacja,9,4
kenkarta,8,3
kenkartowy,10,4
kennel,6,2
kennelowy,9,4
kennelski,9,3
kennkarta,9,3
kenotaf,7,3
kenotafium,10,4
kenotron,8,3
kenotronowy,11,5
kenotyczny,10,4
kenoza,6,3
kenozoiczny,11,5
kenozoik,8,4
kent,4,1
kentrozaur,10,4
kentrurozaur,12,5
kentucky,8,3
kentum,6,2
kentumowy,9,4
kenzan,6,2
kepi,4,2
keplerowski,11,4
keplerowskość,13,4
ker,3,1
kerabau,7,4
keralski,8,3
keramzyt,8,3
keramzytobeton,14,6
keramzytobetonowy,17,8
keramzytowy,11,5
kerargiryt,10,4
keratitis,9,4
keratofir,9,4
keratolityczny,14,6
keratometria,12,5
keratometryczny,15,6
keratoplastyczny,16,6
keratoplastyka,14,6
keratotomia,11,5
keratyna,8,4
keratynizacja,13,6
keratynizacyjny,15,7
keratynocyt,11,5
keratynowy,10,5
kerczeński,10,3
kerczeńskość,12,3
kergulena,9,4
kermes,6,2
kermesyt,8,3
kernel,6,2
kerner,6,2
kerning,7,2
kerningowy,10,4
kernit,6,2
kerolit,7,3
keroplastyczny,14,5
keroplastyka,12,5
kerosen,7,3
kerozen,7,3
kerria,6,2
kersantyt,9,3
kerygmat,8,3
kerygmatyczny,13,5
kerykejon,9,4
keson,5,2
kesoniarz,9,3
kesonować,9,4
kesonowy,8,4
kestelski,9,3
kesz,4,1
ket,3,1
keta,4,2
ketamina,8,4
ketaminowy,10,5
ketchup,7,2
keten,5,2
keteny,6,3
ketgut,6,2
ketgutowy,9,4
ketman,6,2
ketmia,6,2
ketokonazol,11,5
ketoksym,8,3
ketokwas,8,3
keton,5,2
ketonemia,9,4
ketonemiczny,12,5
ketonokwas,10,4
ketonokwasy,11,5
ketonowy,8,4
ketonuria,9,4
ketoza,6,3
ketozy,6,3
kettlebell,10,3
kevlar,6,2
kevlarowy,9,4
kewir,5,2
keyboard,8,4
keyboardowy,11,6
keyboardzista,13,6
keyboardzistka,14,6
keyloger,8,4
keylogger,9,4
keynesista,10,5
keynesistka,11,5
keynesistowski,14,6
keynesizm,9,4
keynesowski,11,5
keynesowskość,13,5
kęcianin,8,3
kęcianka,8,3
kęcki,5,2
kęczanin,8,3
kęczanka,8,3
kędy,4,2
kędykolwiek,11,4
kędyś,5,2
kędyż,5,2
kędzierzawiarka,15,6
kędzierzawić,12,4
kędzierzawiec,13,5
kędzierzawieć,13,5
kędzierzawka,12,4
kędzierzawość,13,4
kędzierzawy,11,4
kędzierzynianin,15,6
kędzierzynianka,15,6
kędzierzyński,13,4
kędzierzyńskość,15,4
kędzior,7,2
kędziorek,9,3
kędziorkowy,11,4
kępa,4,2
kępiasty,8,3
kępicki,7,3
kępiczanin,10,4
kępiczanka,10,4
kępieński,9,3
kępieńskość,11,3
kępina,6,3
kępinka,7,3
kępiński,8,3
kępińskość,10,3
kępka,5,2
kępkowaty,9,4
kępkowy,7,3
kępnianin,9,3
kępnianka,9,3
kępowaty,8,4
kępowy,6,3
kęs,3,1
kęsek,5,2
kęsim,5,2
kęsisko,7,3
kęsowski,8,3
kęsowskość,10,3
kęsy,4,2
kętnar,6,2
kętrzynianin,12,4
kętrzynianka,12,4
kętrzyński,10,3
kętrzyńskość,12,3
kg,2,0
kG,2,0
kh,2,0
khaki,5,2
khat,4,1
khe,3,1
khmerski,8,2
khmerskość,10,2
khon,4,1
khosa,5,2
khoum,5,2
khowar,6,2
kHz,3,0
ki,2,1
kia,3,1
kiang,5,1
kiat,4,1
kibel,5,2
kibelek,7,3
kibic,5,2
kibicka,7,3
kibicować,9,4
kibicowski,10,4
kibicowskość,12,4
kibić,5,2
kibinimater,11,5
kibitka,7,3
kibitkowy,9,4
kibitnik,8,3
kibitniki,9,4
kibitnikowate,13,6
kibitnikowaty,13,6
kibla,5,2
kiblarz,7,2
kiblować,8,3
kiblowy,7,3
kibol,5,2
kibolizacja,11,5
kibolka,7,3
kibolski,8,3
kibolskość,10,3
kibolstwo,9,3
kibuc,5,2
kibucnik,8,3
kibucowy,8,4
kic,3,1
kic,3,1
kicać,5,2
kicha,5,2
kichać,6,2
kichawa,7,3
kichawiec,9,3
kichnąć,7,2
kichnięcie,10,4
kici,4,2
kici,4,2
kicia,5,2
kiciarz,7,2
kiciu,5,2
kiciunia,8,4
kiciuniu,8,4
kiciuś,6,2
kick,4,1
kickbokser,10,3
kickbokserka,12,4
kickbokserski,13,4
kickbokserskość,15,4
kickboxerski,12,4
kickboxing,10,3
kickboxingowy,13,5
kicksy,6,2
kicnąć,6,2
kicnięcie,9,4
kicz,4,1
kiczarz,7,2
kiczka,6,2
kiczki,6,2
kiczowatość,11,4
kiczowaty,9,4
kiczowy,7,3
kiczua,6,3
kiczuański,10,4
kiczuańskość,12,4
kiczyjski,9,3
kić,3,1
kićkać,6,2
kidać,5,2
kidnaper,8,3
kidnaperka,10,4
kidnaperski,11,4
kidnaperskość,13,4
kidnaperstwo,12,4
kidnaping,9,3
kidnapingowy,12,5
kidnapper,9,3
kidsband,8,2
kidult,6,2
kidusz,6,2
kiduszowy,9,4
kieca,5,2
kiecczyna,9,3
kiecka,6,2
kiedra,6,2
kiedy,5,2
kiedykolwiek,12,5
kiedyś,6,2
kiedyś,6,2
kiedyż,6,2
kiejby,6,2
kiejdański,10,3
kiejdańskość,12,3
kiekrzański,11,3
kiel,4,1
kielarka,8,3
kielarski,9,3
kielarskość,11,3
kielczanin,10,3
kielczanka,10,3
kielecki,8,3
kieleckość,10,3
kielich,7,2
kielichowate,12,5
kielichowatość,14,5
kielichowaty,12,5
kielichowcowate,15,6
kielichowcowaty,15,6
kielichowiec,12,5
kielichowiec,12,5
kielichowy,10,4
kieliszeczek,12,4
kieliszek,9,3
kieliszkowaty,13,5
kieliszkowy,11,4
kielisznik,10,3
kieliszunio,11,5
kielnia,7,3
kielniański,11,4
kielniańskość,13,4
kielon,6,2
kielonek,8,3
kielować,8,3
kieł,4,1
kiełb,5,1
kiełbacha,9,3
kiełbasa,8,3
kiełbasiany,11,5
kiełbasić,9,3
kiełbaska,9,3
kiełbasowy,10,4
kiełbaśnica,11,4
kiełbik,7,2
kiełczygłowski,14,4
kiełczygłowskość,16,4
kiełek,6,2
kiełki,6,2
kiełkować,9,3
kiełkowalnia,12,5
kiełkowalność,13,4
kiełkownica,11,4
kiełkownik,10,3
kiełkowy,8,3
kiełtycki,9,3
kiełzać,7,2
kiełznać,8,2
kiełzno,7,2
kiełż,5,1
kiełże,6,2
kiełżowy,8,3
kienesa,7,3
kiep,4,1
kiep,4,1
kiepawy,7,3
kiepeła,7,3
kiepełe,7,3
kiepskawy,9,3
kiepski,7,2
kiepściuchny,12,4
kiepściutki,11,4
kiepścizna,10,3
kier,4,1
kier,4,1
kieracisko,10,4
kierat,6,2
kieratowy,9,4
kierchów,8,2
kierda,6,2
kierdel,7,2
kierdelowy,10,4
kiereja,7,3
kierejka,8,3
kiereszować,11,4
kierezja,8,3
kierki,6,2
kierkut,7,2
kierlesz,8,2
kierleszować,12,4
kierleszowy,11,4
kiermasz,8,2
kiermaszowość,13,4
kiermaszowy,11,4
kiermes,7,2
kiernoski,9,3
kiernoskość,11,3
kiernoz,7,2
kierować,8,3
kierowalność,12,4
kierowalny,10,4
kierowca,8,3
kierowczyni,11,4
kierownica,10,4
kierownictwo,12,4
kierowniczka,12,4
kierowniczko,12,4
kierowniczy,11,4
kierownik,9,3
kierownikowy,12,5
kierowniku,10,4
kierowy,7,3
kierpce,7,2
kierpcowy,9,3
kierpec,7,2
kierpeć,7,2
kierunek,8,3
kierunkować,11,4
kierunkowość,12,4
kierunkowskaz,13,4
kierunkowy,10,4
kierz,5,1
kierzanka,9,3
kierzek,7,2
kierzenka,9,3
kierznia,8,3
kierzynka,9,3
kiesa,5,2
kieska,6,2
kieszeniec,10,4
kieszeniowiec,13,6
kieszeniowy,11,5
kieszeniówka,12,5
kieszeń,7,2
kieszoneczka,12,4
kieszonka,9,3
kieszonkostwo,13,4
kieszonkowe,11,4
kieszonkowiec,13,5
kieszonkowiec,13,5
kieszonkowy,11,4
kietrzanin,10,3
kietrzanka,10,3
kietrzański,11,3
kietrzańskość,13,3
kiezmarski,10,3
kiezmarskość,12,3
kieżmarski,10,3
kieżmarskość,12,3
kifoskolioza,12,5
kifoza,6,3
kigalijczyk,11,4
kigalijka,9,4
kigalijski,10,4
kigalijskość,12,4
kigelia,7,3
kigurumi,8,4
kij,3,1
kijafa,6,3
kijanka,7,3
kijarka,7,3
kijaszek,8,3
kije,4,2
kijek,5,2
kijewski,8,3
kijewskość,10,3
kijkarka,8,3
kijkarstwo,10,3
kijkarz,7,2
kijkować,8,3
kijkowy,7,3
kijowianin,10,4
kijowianka,10,4
kijowiej,8,3
kijowski,8,3
kijowskość,10,3
kijowy,6,3
kijski,6,2
kijskość,8,2
kikimora,8,4
kikiriki,8,4
kikiryki,8,4
kikolski,8,3
kikolskość,10,3
kikować,7,3
kiks,4,1
kiksować,8,3
kikucik,7,3
kikut,5,2
kikutnica,9,4
kikutnice,9,4
kikutowy,8,4
kil,3,1
kilak,5,2
kilblok,7,2
kilblokowy,10,4
kiler,5,2
kiler,5,2
kilerka,7,3
kilim,5,2
kilimek,7,3
kilimiarka,10,4
kilimiarski,11,4
kilimiarskość,13,4
kilimiarstwo,12,4
kilimiarz,9,3
kilimkarnia,11,4
kilimkarski,11,4
kilimkarskość,13,4
kilimkarstwo,12,4
kilimkarz,9,3
kilimkowy,9,4
kilimowy,8,4
kilka,5,2
kilka,5,2
kilkadziesiąt,13,5
kilkakroć,9,3
kilkakrotność,13,4
kilkakrotny,11,4
kilkanaście,11,4
kilkanaścioro,13,5
kilkaset,8,3
kilkoaktowy,11,5
kilkoarkuszowy,14,6
kilkocalowy,11,5
kilkocentymetrowy,17,7
kilkodniowy,11,4
kilkofazowy,11,5
kilkogłosowy,12,5
kilkogodzinny,13,5
kilkogroszowy,13,5
kilkohektarowy,14,6
kilkokartkowy,13,5
kilkokondygnacyjny,18,7
kilkokrotny,11,4
kilkolatek,10,4
kilkolatek,10,4
kilkolatka,10,4
kilkoletni,10,4
kilkometrowy,12,5
kilkomiesięczny,15,6
kilkomilimetrowy,16,7
kilkomilionowy,14,6
kilkomilowy,11,5
kilkominutowy,13,6
kilkomorgowy,12,5
kilkonastodniowy,16,6
kilkonastogodzinny,18,7
kilkonastohektarowy,19,8
kilkonastoletni,15,6
kilkoodcinkowy,14,6
kilkoosobowy,12,6
kilkopiętrowy,13,5
kilkopokojowy,13,6
kilkopoziomowy,14,6
kilkoramienny,13,5
kilkoro,7,3
kilkorodzinny,13,5
kilkostopniowy,14,5
kilkostronicowy,15,6
kilkostronowy,13,5
kilkotomowy,11,5
kilkotonowy,11,5
kilkotraktowy,13,5
kilkotygodniowy,15,6
kilkotysięczny,14,5
kilkowarstwowy,14,5
kilkowiekowy,12,5
kilkowierszowy,14,5
kilkowioskowy,13,5
kilkowyrazowy,13,6
kilkozłotowy,12,5
kilkuaktowy,11,5
kilkuarkuszowy,14,6
kilkuarowy,10,5
kilkuatomowy,12,6
kilkucalowy,11,5
kilkucentymetrowy,17,7
kilkuczęściowy,14,5
kilkuczłonowy,13,5
kilkudaniowy,12,5
kilkudniowy,11,4
kilkudziesięciocentymetrowy,27,12
kilkudziesięciodniowy,21,10
kilkudziesięciokrotność,23,9
kilkudziesięciokrotny,21,9
kilkudziesięciolecie,20,10
kilkudziesięcioletni,20,9
kilkudziesięciometrowy,22,10
kilkudziesięcioosobowy,22,11
kilkudziesięciopiętrowy,23,11
kilkudziesięciostronicowy,25,11
kilkudziesięciostronowy,23,10
kilkudziesięciotysięczny,24,11
kilkuelementowy,15,7
kilkuetapowy,12,6
kilkufazowy,11,5
kilkugłosowy,12,5
kilkugodzinny,13,5
kilkugroszowy,13,5
kilkuhektarowy,14,6
kilkuizbowy,11,5
kilkukartkowy,13,5
kilkukilogramowy,16,7
kilkukilometrowy,16,7
kilkukondygnacyjny,18,7
kilkukrotność,13,4
kilkukrotny,11,4
kilkulatek,10,4
kilkulatek,10,4
kilkulatka,10,4
kilkulatki,10,4
kilkulecie,10,4
kilkuletni,10,4
kilkuliterowy,13,6
kilkumasztowiec,15,5
kilkumasztowy,13,5
kilkumetrowy,12,5
kilkumiesięczny,15,6
kilkumilimetrowy,16,7
kilkumilionowy,14,6
kilkumilowy,11,5
kilkuminutowy,13,6
kilkumorgowy,12,5
kilkunastoarkuszowy,19,8
kilkunastocentymetrowy,22,9
kilkunastodniowy,16,6
kilkunastogodzinny,18,7
kilkunastogramowy,17,7
kilkunastohektarowy,19,8
kilkunastokrotność,18,6
kilkunastokrotny,16,6
kilkunastolatek,15,6
kilkunastolatek,15,6
kilkunastolatka,15,6
kilkunastolatki,15,6
kilkunastolatkowy,17,7
kilkunastoletni,15,6
kilkunastometrowy,17,7
kilkunastomilionowy,19,8
kilkunastominutowy,18,8
kilkunastoosobowy,17,8
kilkunastopiętrowy,18,7
kilkunastoprocentowy,20,8
kilkunastosekundowy,19,8
kilkunastostopniowy,19,7
kilkunastostronicowy,20,8
kilkunastostronowy,18,7
kilkunastostrunowy,18,7
kilkunastotomowy,16,7
kilkunastotygodniowy,20,8
kilkunastotysięczny,19,7
kilkunastowersowy,17,7
kilkunastowierszowy,19,7
kilkunasty,10,4
kilkuodcinkowy,14,6
kilkuosobowy,12,6
kilkupartyjny,13,5
kilkupasmowy,12,5
kilkupiętrowy,13,5
kilkupokładowy,14,6
kilkupokojowy,13,6
kilkupoziomowy,14,6
kilkuprocentowy,15,6
kilkuramienny,13,5
kilkurodzinny,13,5
kilkusalowy,11,5
kilkusekundowy,14,6
kilkusethektarowy,17,7
kilkusetkartkowy,16,6
kilkusetkilogramowy,19,8
kilkusetkilometrowy,19,8
kilkusetletni,13,5
kilkusetmetrowy,15,6
kilkusetny,10,4
kilkusetodcinkowy,17,7
kilkusetosobowy,15,7
kilkusetstronicowy,18,7
kilkusetstronowy,16,6
kilkusettysięczny,17,6
kilkuskładnikowy,16,6
kilkustopniowy,14,5
kilkustronicowy,15,6
kilkustronowy,13,5
kilkusylabowy,13,6
kilkuszufladowy,15,6
kilkutaktowy,12,5
kilkutomowy,11,5
kilkutonowy,11,5
kilkutraktowy,13,5
kilkutygodniowy,15,6
kilkutysięczny,14,5
kilkuwarstwowy,14,5
kilkuwersowy,12,5
kilkuwiekowy,12,5
kilkuwierszowy,14,5
kilkuwioskowy,13,5
kilkuwiosłowy,13,5
kilkuwyrazowy,13,6
kilkuzdaniowy,13,5
kilkuzgłoskowy,14,5
kilkuzłotowy,12,5
killer,6,2
killer,6,2
killerka,8,3
killkeffi,9,3
kilo,4,2
kiloamper,9,4
kiloamperomierz,15,6
kilobajt,8,3
kilobar,7,3
kilobit,7,3
kilocykl,8,3
kilodyna,8,4
kilodżul,8,3
kilof,5,2
kilofek,7,3
kilofowy,8,4
kilogram,8,3
kilogramometr,13,5
kilogramowy,11,5
kiloherc,8,3
kilohercowy,11,5
kilokaloria,11,5
kilokulomb,10,4
kilolitr,8,3
kilometr,8,3
kilometracja,12,5
kilometraż,10,4
kilometrowy,11,5
kilometrówka,12,5
kiloniuton,10,4
kilonka,7,3
kilończyk,9,3
kiloński,8,3
kilońskość,10,3
kiloom,6,3
kilopond,8,3
kilopondometr,13,5
kilos,5,2
kilotona,8,4
kilotonowy,10,5
kilowat,7,3
kilowatoamper,13,6
kilowatogodzina,15,7
kilowatomierz,13,5
kilowatomierzowy,16,7
kilowatowy,10,5
kilowiec,8,3
kilowolt,8,3
kilowoltoamper,14,6
kilowoltomierz,14,5
kilowoltowy,11,5
kilowy,6,3
kilówka,7,3
kilson,6,2
kilt,4,1
kilwater,8,3
kiła,4,2
kiłowy,6,3
kima,4,2
kimać,5,2
kimation,8,3
kimbangizm,10,3
kimberlit,9,3
kimberlitowy,12,5
kimchi,6,2
kimerydy,8,4
kimeryjski,10,4
kimeryjskość,12,4
kimirsenowski,13,5
kimnąć,6,2
kimograf,8,3
kimografia,10,4
kimograficzny,13,5
kimografion,11,4
kimogram,8,3
kimono,6,3
kimono,6,3
kimonowy,8,4
kimżeż,6,2
kin,3,1
kina,4,2
kinajdologia,12,5
kinal,5,2
kinaza,6,3
kinąć,5,2
kinderbal,9,3
kinderek,8,3
kindersztuba,12,4
kindybał,8,3
kindziuk,8,2
kindżał,7,2
kindżałowy,10,4
kinefot,7,3
kinematograf,12,5
kinematografia,14,6
kinematograficzny,17,7
kinematometr,12,5
kinematyczny,12,5
kinematyka,10,5
kineskop,8,3
kineskopowy,11,5
kinestetyczka,13,5
kinestetyczny,13,5
kinestetyk,10,4
kinestezja,10,4
kinestezyjny,12,5
kinetoblast,11,4
kinetochor,10,4
kinetochorowy,13,6
kinetofon,9,4
kinetograf,10,4
kinetografia,12,5
kinetograficzny,15,6
kinetogram,10,4
kinetoplast,11,4
kinetoskop,10,4
kinetosom,9,4
kinetostatyczny,15,6
kinetostatyka,13,6
kinetoterapeutyczny,19,9
kinetoterapia,13,6
kinetoza,8,4
kinetyczność,12,4
kinetyczny,10,4
kinetyka,8,4
kinetyna,8,4
kinetyzm,8,3
kineza,6,3
kinezjolog,10,4
kinezjologia,12,5
kinezjologiczny,15,6
kinezjoterapeutyczny,20,9
kinezjoterapia,14,6
kinezyka,8,4
kinezyterapeuta,15,8
kinezyterapeutka,16,8
kinezyterapeutyczny,19,9
kinezyterapia,13,6
king,4,1
kingston,8,2
kingstonka,10,3
kingstończyk,12,3
kingstoński,11,3
kingstońskość,13,3
kiniarz,7,2
kinina,6,3
kininowy,8,4
kinkan,6,2
kinkażu,7,3
kinkiecik,9,3
kinkiecikowy,12,5
kinkiet,7,2
kinkietowy,10,4
kinnor,6,2
kino,4,2
kinoblast,9,3
kinobus,7,3
kinocyt,7,3
kinofikacja,11,5
kinol,5,2
kinolek,7,3
kinolkowy,9,4
kinoman,7,3
kinomania,9,4
kinomaniaczka,13,5
kinomaniak,10,4
kinomanka,9,4
kinomechanik,12,5
kinomer,7,3
kinooperator,12,6
kinopanorama,12,6
